Source, Packets txd, Bt, Mean delay, Server Utilization
0, 7651, 9584506, 1.1598, 0.0148
1, 15429, 13126149, 1.1647, 0.0148
2, 17546, 19765004, 1.1628, 0.0148
3, 25459, 35681538, 23.7637, 0.0148
4, 3994, 4602580, 1.1641, 0.0148
5, 22363, 22361206, 1.1671, 0.0148
6, 22721, 31152673, 1.1696, 0.0148
7, 11642, 11129452, 1.1618, 0.0148
8, 7788, 9747089, 1.1739, 0.0148
9, 15406, 13107801, 1.1733, 0.0148
10, 17678, 19893583, 1.1637, 0.0148
11, 25464, 35680849, 29.5007, 0.0148
12, 3982, 4592442, 1.1854, 0.0148
13, 22819, 22824864, 1.1626, 0.0148
14, 22741, 31270807, 1.1746, 0.0148
15, 11818, 11309218, 1.1699, 0.0148
